disposition,ra,dec,st_pmra,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
2,112.357708,-12.69596,-5.964,0.0,-0.076,0.072,-0.072,0.0,2459229.630046,0.001657,-0.001657,0,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,656.8860989,37.77821,-37.77821,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,3127.2040524,9.604,0.013,-0.013,0,485.735,11.9515,-11.9515,0,10249.0,264.7,-264.7,0,4.19,0.07,-0.07,0,2.16986,0.0725729,-0.0725729,0
1,122.580465,-5.513852,-4.956,0.0,-15.555,0.072,-0.072,0.0,2459987.948873,0.001916,-0.001916,0,1.9316462,5.3e-06,-5.3e-06,0,3.166,0.647,-0.647,0,1286.0,1186.49,-1186.49,0,11.2154,2.6242,-2.6242,0,44464.5,4045.0,9.42344,0.006,-0.006,0,295.862,5.91,-5.91,0,7070.0,126.4,-126.4,0,4.03,0.09,-0.09,0,2.01,0.09,-0.09,0
2,104.726966,-10.580455,-1.462,0.0,-2.249,0.206,-0.206,0.0,2459224.687802,0.000625,-0.000625,0,1.8675574,3e-06,-3e-06,0,1.408,0.184,-0.184,0,1500.0,1.7584,-1.7584,0,23.7529,1.481857536021982,-1.481857536021982,0,2860.61,2037.0,9.299501,0.058,-0.058,0,943.109,106.333,-106.333,0,8924.0,124.0,-124.0,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,5.73,0.07458443695733533,-0.07458443695733533,0
2,110.559945,-25.207017,-0.939,0.0,1.64,0.055,-0.055,0.0,2458493.3957,0.00535,-0.00535,0,2.74323,0.00108,-0.00108,0,3.167,0.642,-0.642,0,383.41,0.781988,-0.781988,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,1177.36,1631.0,9.3003,0.037,-0.037,0,7728.17,1899.57,-1899.57,0,5388.5,567.0,-567.0,0,4.15,1.64,-1.64,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
2,122.178195,-48.802811,-4.496,0.0,9.347,0.062,-0.062,0.0,2459987.047262,0.003748,-0.003748,0,3.5730141,1.28e-05,-1.28e-05,0,3.37,1.029,-1.029,0,755.0,1306.55,-1306.55,0,11.3113,3.24714,-3.24714,0,54679.3,4260.0,9.1355,0.006,-0.006,0,356.437,4.6175,-4.6175,0,9219.0,171.1,-171.1,0,4.14,0.07,-0.07,0,2.15,0.06,-0.06,0
2,120.704811,-11.101521,-26.932,0.0,-2.901,2.06,-2.06,0.0,2458492.5552,0.00106,-0.00106,0,4.55072,0.00033,-0.00033,0,2.599,0.284,-0.284,0,3620.0,2.1771,-2.1771,0,6.54449,0.45717,-0.45717,0,254.05,1112.0,9.1309,0.006,-0.006,0,100.711,14.121,-14.121,0,5613.0,179.9,-179.9,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.09,0.07,-0.07,0
2,124.359239,-27.273521,-29.1,0.0,-6.8,2.2,-2.2,0.0,2459229.984579,0.002159,-0.002159,0,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,2270.5402194,81.38088,-81.38088,0,8.6950898,8.438766,-8.438766,0,1750.932635,1649.8220699,9.2386,0.006,-0.006,0,475.97416882599276,20.01366261459135,-20.01366261459135,0,6616.0,200.0,-200.0,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.53429,1.4887,-1.4887,0
1,112.752393,-4.463359,0.357,0.0,3.399,0.045,-0.045,0.0,2459247.930695,0.0013,-0.0013,0,6.9989206,1.37e-05,-1.37e-05,0,3.953,0.437,-0.437,0,2840.0,0.943618,-0.943618,0,14.7752,0.764705,-0.764705,0,448.744,1282.0,8.87759,0.006,-0.006,0,283.291,3.0025,-3.0025,0,6596.0,139.2,-139.2,0,3.71,0.09,-0.09,0,2.7,0.13,-0.13,0
2,109.382839,13.395219,-17.9,0.0,1.3,1.0,-1.0,0.0,2460258.236122,0.002805,-0.002805,0,2.0483755,5.5e-06,-5.5e-06,0,2.767,0.861,-0.861,0,483.0,41.94,-41.94,0,3.19621,1.481857536021982,-1.481857536021982,0,5644.4,1284.626968292529,8.9362,0.012,-0.012,0,144.297,20.01366261459135,-20.01366261459135,0,6858.5,584.6,-584.6,0,4.2,1.9,-1.9,0,1.57,0.07458443695733533,-0.07458443695733533,0
1,111.667845,-24.462111,-3.297,0.0,4.849,0.358,-0.358,0.0,2459229.230924,0.000389,-0.000389,0,1.9600277,2.5e-06,-2.5e-06,0,2.0065257,0.050591,-0.050591,0,1707.6272693,49.601223,-49.601223,0,10.37830827575075,1.481857536021982,-1.481857536021982,0,1063.3422958,1456.4246534,8.4331,0.028,-0.028,0,866.147,172.097,-172.097,0,8868.7,809.8,-809.8,0,4.305148136020152,0.1800801672260612,-0.1800801672260612,0,1.4046020899399398,0.07458443695733533,-0.07458443695733533,0
